Context;Relation;Maximum_Cardinality;Likelihood
http://www.wikidata.org/entity/Q486972;http://xmlns.com/foaf/0.1/name;2;0.971086599
http://www.wikidata.org/entity/Q532;http://xmlns.com/foaf/0.1/name;2;0.992570028
Top;http://dbpedia.org/ontology/abbreviation;1;0.979519662
http://www.wikidata.org/entity/Q13414980;http://dbpedia.org/ontology/abstract;1;0.981523383
http://dbpedia.org/ontology/NCAATeamSeason;http://dbpedia.org/ontology/abstract;1;0.98749406
http://dbpedia.org/ontology/AustralianRulesFootballPlayer;http://dbpedia.org/ontology/abstract;1;0.97948872
http://dbpedia.org/ontology/TimePeriod;http://dbpedia.org/ontology/activeYearsEndDate;1;0.993352754
Top;http://dbpedia.org/ontology/activeYearsEndYear;1;0.994131752
http://dbpedia.org/ontology/TimePeriod;http://dbpedia.org/ontology/activeYearsStartDate;1;0.991698645
Top;http://dbpedia.org/ontology/activeYearsStartYear;1;0.995099073
Top;http://dbpedia.org/ontology/added;1;0.989935878
http://dbpedia.org/ontology/RadioStation;http://dbpedia.org/ontology/alias;1;0.97818274
http://dbpedia.org/class/yago/RadioStation104044119;http://dbpedia.org/ontology/alias;1;0.977349145
http://schema.org/RadioStation;http://dbpedia.org/ontology/alias;1;0.978762724
Top;http://dbpedia.org/ontology/area;1;0.992379534
http://dbpedia.org/class/yago/Abstraction100002137;http://dbpedia.org/ontology/areaCode;1;0.970146656
http://dbpedia.org/ontology/City;http://dbpedia.org/ontology/areaCode;1;0.973627022
http://schema.org/City;http://dbpedia.org/ontology/areaCode;1;0.982037269
http://www.wikidata.org/entity/Q532;http://dbpedia.org/ontology/areaCode;1;0.984787159
http://www.wikidata.org/entity/Q515;http://dbpedia.org/ontology/areaCode;1;0.982037269
http://umbel.org/umbel/rc/City;http://dbpedia.org/ontology/areaCode;1;0.977542221
http://dbpedia.org/class/yago/Township108672199;http://dbpedia.org/ontology/areaCode;1;0.971112025
http://dbpedia.org/class/yago/Commune108541609;http://dbpedia.org/ontology/areaCode;1;0.971516993
http://dbpedia.org/class/yago/CountySeat108547143;http://dbpedia.org/ontology/areaCode;1;0.970463391
http://dbpedia.org/class/yago/Tract108673395;http://dbpedia.org/ontology/areaCode;1;0.984693537
http://www.wikidata.org/entity/Q3455524;http://dbpedia.org/ontology/areaLand;1;0.974004945
http://schema.org/AdministrativeArea;http://dbpedia.org/ontology/areaLand;1;0.974004945
http://dbpedia.org/ontology/Region;http://dbpedia.org/ontology/areaLand;1;0.974004945
http://dbpedia.org/class/yago/County108546183;http://dbpedia.org/ontology/areaLand;1;0.971068395
http://dbpedia.org/class/yago/WikicatVillagesInTheCzechRepublic;http://dbpedia.org/ontology/areaTotal;1;0.975289611
http://dbpedia.org/ontology/NaturalPlace;http://dbpedia.org/ontology/areaTotal;1;0.970923475
http://www.wikidata.org/entity/Q23397;http://dbpedia.org/ontology/areaTotal;1;0.970390759
http://www.wikidata.org/entity/Q23442;http://dbpedia.org/ontology/areaTotal;1;0.972593091
http://schema.org/BodyOfWater;http://dbpedia.org/ontology/areaTotal;1;0.970911935
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInSlovenia;http://dbpedia.org/ontology/areaTotal;1;0.979230858
http://dbpedia.org/class/yago/County108546183;http://dbpedia.org/ontology/areaTotal;1;0.973965087
http://schema.org/LakeBodyOfWater;http://dbpedia.org/ontology/areaTotal;1;0.970390759
http://schema.org/AdministrativeArea;http://dbpedia.org/ontology/areaTotal;1;0.98050385
http://www.wikidata.org/entity/Q3455524;http://dbpedia.org/ontology/areaTotal;1;0.98050385
http://dbpedia.org/ontology/Region;http://dbpedia.org/ontology/areaTotal;1;0.98050385
http://dbpedia.org/class/yago/Commune108541609;http://dbpedia.org/ontology/areaTotal;1;0.975053521
http://dbpedia.org/class/yago/County108546183;http://dbpedia.org/ontology/areaWater;1;0.971152946
http://www.wikidata.org/entity/Q3455524;http://dbpedia.org/ontology/areaWater;1;0.973351284
http://schema.org/AdministrativeArea;http://dbpedia.org/ontology/areaWater;1;0.973351284
http://dbpedia.org/ontology/Region;http://dbpedia.org/ontology/areaWater;1;0.973351284
Top;http://dbpedia.org/ontology/arrondissement;1;0.984271163
http://www.wikidata.org/entity/Q482994;http://dbpedia.org/ontology/artist;1;0.970270985
http://dbpedia.org/class/yago/Information106634376;http://dbpedia.org/ontology/artist;1;0.970217709
http://schema.org/MusicAlbum;http://dbpedia.org/ontology/artist;1;0.970270985
http://dbpedia.org/ontology/Album;http://dbpedia.org/ontology/artist;1;0.970267824
http://dbpedia.org/class/yago/PhysicalEntity100001930;http://dbpedia.org/ontology/artist;1;0.97595145
http://dbpedia.org/ontology/ArtistDiscography;http://dbpedia.org/ontology/artist;1;0.972327403
Top;http://dbpedia.org/ontology/atcPrefix;1;0.977648483
Top;http://dbpedia.org/ontology/atcSuffix;1;0.970415634
Top;http://dbpedia.org/ontology/Automobile/wheelbase;1;0.977743489
Top;http://dbpedia.org/ontology/background;1;0.994690805
http://dbpedia.org/class/yago/Plant100017222;http://dbpedia.org/ontology/binomialAuthority;1;0.978368807
http://dbpedia.org/ontology/Plant;http://dbpedia.org/ontology/binomialAuthority;1;0.982062835
http://dbpedia.org/ontology/Insect;http://dbpedia.org/ontology/binomialAuthority;1;0.970740791
http://umbel.org/umbel/rc/FloweringPlant;http://dbpedia.org/ontology/binomialAuthority;1;0.972038842
http://www.wikidata.org/entity/Q756;http://dbpedia.org/ontology/binomialAuthority;1;0.982251853
http://www.wikidata.org/entity/Q1390;http://dbpedia.org/ontology/binomialAuthority;1;0.97075271
http://dbpedia.org/ontology/MilitaryPerson;http://dbpedia.org/ontology/birthDate;1;0.983889351
http://www.wikidata.org/entity/Q13156709;http://dbpedia.org/ontology/birthDate;1;0.97328788
http://www.wikidata.org/entity/Q13219587;http://dbpedia.org/ontology/birthDate;1;0.972442282
http://dbpedia.org/ontology/AustralianRulesFootballPlayer;http://dbpedia.org/ontology/birthDate;1;0.986304823
http://www.wikidata.org/entity/Q13414980;http://dbpedia.org/ontology/birthDate;1;0.986382953
Top;http://dbpedia.org/ontology/birthName;1;0.988468373
http://dbpedia.org/ontology/MilitaryPerson;http://dbpedia.org/ontology/birthPlace;1;0.978107467
Top;http://dbpedia.org/ontology/birthYear;1;0.995592975
Top;http://dbpedia.org/ontology/broadcastStationClass;1;0.974205678
http://schema.org/Movie;http://dbpedia.org/ontology/budget;1;0.975508224
http://dbpedia.org/class/yago/PsychologicalFeature100023100;http://dbpedia.org/ontology/budget;1;0.972422729
http://www.wikidata.org/entity/Q386724;http://dbpedia.org/ontology/budget;1;0.975508224
http://dbpedia.org/ontology/Wikidata:Q11424;http://dbpedia.org/ontology/budget;1;0.975508224
http://schema.org/CreativeWork;http://dbpedia.org/ontology/budget;1;0.975508224
http://dbpedia.org/ontology/Work;http://dbpedia.org/ontology/budget;1;0.975509446
http://dbpedia.org/class/yago/PhysicalEntity100001930;http://dbpedia.org/ontology/budget;1;0.973435898
Top;http://dbpedia.org/ontology/canton;1;0.976327714
http://dbpedia.org/class/yago/Abstraction100002137;http://dbpedia.org/ontology/capacity;1;0.976715974
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson;http://dbpedia.org/ontology/capacity;1;0.98087425
http://dbpedia.org/class/yago/YagoLegalActorGeo;http://dbpedia.org/ontology/capacity;1;0.979581384
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent;http://dbpedia.org/ontology/capacity;1;0.98087425
http://dbpedia.org/ontology/Agent;http://dbpedia.org/ontology/capacity;1;0.980665248
http://www.wikidata.org/entity/Q476028;http://dbpedia.org/ontology/capacity;1;0.980989479
http://www.wikidata.org/entity/Q24229398;http://dbpedia.org/ontology/capacity;1;0.98087425
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity;http://dbpedia.org/ontology/capacity;1;0.979500415
http://umbel.org/umbel/rc/Club_Organization;http://dbpedia.org/ontology/capacity;1;0.971246143
http://schema.org/Organization;http://dbpedia.org/ontology/capacity;1;0.98087425
http://schema.org/SportsTeam;http://dbpedia.org/ontology/capacity;1;0.98087425
http://www.wikidata.org/entity/Q43229;http://dbpedia.org/ontology/capacity;1;0.98087425
Top;http://dbpedia.org/ontology/careerPrizeMoney;1;0.97466546
Top;http://dbpedia.org/ontology/casNumber;1;0.978898872
Top;http://dbpedia.org/ontology/censusYear;1;0.976269915
Top;http://dbpedia.org/ontology/ceremonialCounty;1;0.977987308
Top;http://dbpedia.org/ontology/chairmanTitle;1;0.976494638
http://umbel.org/umbel/rc/Insect;http://dbpedia.org/ontology/class;1;0.976853332
http://dbpedia.org/ontology/Bird;http://dbpedia.org/ontology/class;1;0.973294164
http://dbpedia.org/class/yago/Arthropod101767661;http://dbpedia.org/ontology/class;1;0.979712156
http://umbel.org/umbel/rc/Bird;http://dbpedia.org/ontology/class;1;0.970988882
http://dbpedia.org/class/yago/Bird101503061;http://dbpedia.org/ontology/class;1;0.972626945
http://dbpedia.org/ontology/Insect;http://dbpedia.org/ontology/class;1;0.99013109
http://www.wikidata.org/entity/Q1390;http://dbpedia.org/ontology/class;1;0.990189028
http://dbpedia.org/ontology/NCAATeamSeason;http://dbpedia.org/ontology/coach;1;0.973903372
http://www.wikidata.org/entity/Q19088;http://dbpedia.org/ontology/colour;1;0.972569899
http://www.wikidata.org/entity/Q729;http://dbpedia.org/ontology/colour;1;0.972569899
http://dbpedia.org/ontology/Species;http://dbpedia.org/ontology/colour;1;0.972569899
http://www.wikidata.org/entity/Q7377;http://dbpedia.org/ontology/colour;1;0.972569899
Top;http://dbpedia.org/ontology/colourName;1;0.970837584
Top;http://dbpedia.org/ontology/completionDate;1;0.980926819
Top;http://dbpedia.org/ontology/conservationStatus;1;0.993009502
Top;http://dbpedia.org/ontology/conservationStatusSystem;1;0.992973776
http://www.wikidata.org/entity/Q1656682;http://dbpedia.org/ontology/country;1;0.97961361
http://dbpedia.org/ontology/City;http://dbpedia.org/ontology/country;1;0.984757624
http://www.wikidata.org/entity/Q40231;http://dbpedia.org/ontology/country;1;0.977691585
http://www.wikidata.org/entity/Q515;http://dbpedia.org/ontology/country;1;0.987333574
http://dbpedia.org/class/yago/Section108648322;http://dbpedia.org/ontology/country;1;0.977624021
http://schema.org/City;http://dbpedia.org/ontology/country;1;0.987333574
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInSlovenia;http://dbpedia.org/ontology/country;1;0.979744218
http://dbpedia.org/ontology/Region;http://dbpedia.org/ontology/country;1;0.988097967
http://dbpedia.org/class/yago/University108286569;http://dbpedia.org/ontology/country;1;0.974833725
http://dbpedia.org/class/yago/Actor109765278;http://dbpedia.org/ontology/country;1;0.970500305
http://www.wikidata.org/entity/Q3455524;http://dbpedia.org/ontology/country;1;0.988097967
http://schema.org/CollegeOrUniversity;http://dbpedia.org/ontology/country;1;0.978805965
http://dbpedia.org/class/yago/Contestant109613191;http://dbpedia.org/ontology/country;1;0.970949939
http://dbpedia.org/class/yago/Terminal104412901;http://dbpedia.org/ontology/country;1;0.978413298
http://www.wikidata.org/entity/Q719456;http://dbpedia.org/ontology/country;1;0.981787669
http://dbpedia.org/class/yago/CountySeat108547143;http://dbpedia.org/ontology/country;1;0.9712462
http://dbpedia.org/class/yago/GroupAction101080366;http://dbpedia.org/ontology/country;1;0.970755464
http://dbpedia.org/ontology/Event;http://dbpedia.org/ontology/country;1;0.979476934
http://dbpedia.org/class/yago/SeniorHighSchool108409617;http://dbpedia.org/ontology/country;1;0.980227707
http://umbel.org/umbel/rc/Village;http://dbpedia.org/ontology/country;1;0.971794956
http://www.wikidata.org/entity/Q532;http://dbpedia.org/ontology/country;1;0.996100782
http://umbel.org/umbel/rc/Town;http://dbpedia.org/ontology/country;1;0.982410115
http://dbpedia.org/class/yago/WikicatRiversOfRomania;http://dbpedia.org/ontology/country;1;0.980826828
http://dbpedia.org/class/yago/District108552138;http://dbpedia.org/ontology/country;1;0.986856205
http://www.wikidata.org/entity/Q3918;http://dbpedia.org/ontology/country;1;0.978805965
http://www.wikidata.org/entity/Q3957;http://dbpedia.org/ontology/country;1;0.991982628
http://dbpedia.org/class/yago/WikicatVillagesInTurkey;http://dbpedia.org/ontology/country;1;0.981282016
http://dbpedia.org/ontology/ArchitecturalStructure;http://dbpedia.org/ontology/country;1;0.978743916
http://dbpedia.org/class/yago/WikicatVillagesInMasovianVoivodeship;http://dbpedia.org/ontology/country;1;0.971318201
http://dbpedia.org/class/yago/County108546183;http://dbpedia.org/ontology/country;1;0.975088768
http://www.wikidata.org/entity/Q33999;http://dbpedia.org/ontology/country;1;0.974782991
http://umbel.org/umbel/rc/City;http://dbpedia.org/ontology/country;1;0.981542766
http://dbpedia.org/class/yago/WikicatVillagesInTheCzechRepublic;http://dbpedia.org/ontology/country;1;0.978479999
http://www.wikidata.org/entity/Q41176;http://dbpedia.org/ontology/country;1;0.974280922
http://schema.org/Event;http://dbpedia.org/ontology/country;1;0.97961361
http://dbpedia.org/ontology/Athlete;http://dbpedia.org/ontology/country;1;0.973939556
http://www.wikidata.org/entity/Q7278;http://dbpedia.org/ontology/country;1;0.971228547
http://dbpedia.org/ontology/Artist;http://dbpedia.org/ontology/country;1;0.980763092
http://dbpedia.org/ontology/PoliticalParty;http://dbpedia.org/ontology/country;1;0.970536873
http://schema.org/AdministrativeArea;http://dbpedia.org/ontology/country;1;0.988097967
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Event;http://dbpedia.org/ontology/country;1;0.97961361
http://www.wikidata.org/entity/Q483501;http://dbpedia.org/ontology/country;1;0.980758905
http://dbpedia.org/ontology/Town;http://dbpedia.org/ontology/country;1;0.991387845
http://schema.org/EducationalOrganization;http://dbpedia.org/ontology/county;1;0.974213089
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing;http://dbpedia.org/ontology/county;1;0.975571882
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson;http://dbpedia.org/ontology/county;1;0.974351739
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent;http://dbpedia.org/ontology/county;1;0.974351739
http://www.wikidata.org/entity/Q43229;http://dbpedia.org/ontology/county;1;0.974351739
http://dbpedia.org/ontology/Agent;http://dbpedia.org/ontology/county;1;0.974228483
http://dbpedia.org/class/yago/YagoLegalActorGeo;http://dbpedia.org/ontology/county;1;0.972839017
http://www.wikidata.org/entity/Q24229398;http://dbpedia.org/ontology/county;1;0.974351739
http://schema.org/School;http://dbpedia.org/ontology/county;1;0.974213089
http://schema.org/Organization;http://dbpedia.org/ontology/county;1;0.974351739
http://www.wikidata.org/entity/Q3914;http://dbpedia.org/ontology/county;1;0.974213089
http://dbpedia.org/class/yago/Abstraction100002137;http://dbpedia.org/ontology/county;1;0.974785042
Top;http://dbpedia.org/ontology/currentMember;1;0.993402058
Top;http://dbpedia.org/ontology/daylightSavingTimeZone;1;0.977811693
Top;http://dbpedia.org/ontology/dcc;1;0.978890995
http://www.wikidata.org/entity/Q13414980;http://dbpedia.org/ontology/deathDate;1;0.980865358
http://dbpedia.org/ontology/AustralianRulesFootballPlayer;http://dbpedia.org/ontology/deathDate;1;0.98071047
http://www.wikidata.org/entity/Q13415036;http://dbpedia.org/ontology/deathDate;1;0.970238013
http://dbpedia.org/ontology/MilitaryPerson;http://dbpedia.org/ontology/deathDate;1;0.982646531
http://dbpedia.org/ontology/MilitaryPerson;http://dbpedia.org/ontology/deathPlace;1;0.978209464
Top;http://dbpedia.org/ontology/deathYear;1;0.993804905
Top;http://dbpedia.org/ontology/debutTeam;1;0.990262082
Top;http://dbpedia.org/ontology/department;1;0.990184414
http://dbpedia.org/class/yago/WikicatIndianFilms;http://dbpedia.org/ontology/director;1;0.975273834
http://dbpedia.org/class/yago/Object100002684;http://dbpedia.org/ontology/district;1;0.973671859
http://www.wikidata.org/entity/Q486972;http://dbpedia.org/ontology/district;1;0.984986757
http://dbpedia.org/ontology/PopulatedPlace;http://dbpedia.org/ontology/district;1;0.98500151
http://dbpedia.org/class/yago/YagoLegalActorGeo;http://dbpedia.org/ontology/district;1;0.979589814
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing;http://dbpedia.org/ontology/district;1;0.97275058
http://umbel.org/umbel/rc/Plant;http://dbpedia.org/ontology/division;1;0.98146043
http://www.wikidata.org/entity/Q19088;http://dbpedia.org/ontology/division;1;0.973528339
http://umbel.org/umbel/rc/FloweringPlant;http://dbpedia.org/ontology/division;1;0.982199579
http://dbpedia.org/ontology/Species;http://dbpedia.org/ontology/division;1;0.973659363
http://dbpedia.org/class/yago/PhysicalEntity100001930;http://dbpedia.org/ontology/division;1;0.984560519
http://www.wikidata.org/entity/Q756;http://dbpedia.org/ontology/division;1;0.993306566
Top;http://dbpedia.org/ontology/domain;1;0.97414308
Top;http://dbpedia.org/ontology/draft;1;0.978756129
Top;http://dbpedia.org/ontology/draftRound;1;0.985303671
Top;http://dbpedia.org/ontology/draftTeam;1;0.983958776
Top;http://dbpedia.org/ontology/draftYear;1;0.990309666
Top;http://dbpedia.org/ontology/ecNumber;1;0.974476612
http://dbpedia.org/ontology/NaturalPlace;http://dbpedia.org/ontology/elevation;1;0.98664778
http://dbpedia.org/class/yago/WikicatPopulatedPlacesInSlovenia;http://dbpedia.org/ontology/elevation;1;0.979376104
http://dbpedia.org/class/yago/Thing100002452;http://dbpedia.org/ontology/elevation;1;0.972809873
http://dbpedia.org/class/yago/GeologicalFormation109287968;http://dbpedia.org/ontology/elevation;1;0.9711857
http://schema.org/Mountain;http://dbpedia.org/ontology/elevation;1;0.984612602
http://schema.org/LakeBodyOfWater;http://dbpedia.org/ontology/elevation;1;0.976035033
http://schema.org/BodyOfWater;http://dbpedia.org/ontology/elevation;1;0.976914909
http://www.wikidata.org/entity/Q8502;http://dbpedia.org/ontology/elevation;1;0.984612602
http://dbpedia.org/class/yago/WikicatVillagesInTheCzechRepublic;http://dbpedia.org/ontology/elevation;1;0.975661902
http://www.wikidata.org/entity/Q23397;http://dbpedia.org/ontology/elevation;1;0.976035033
http://umbel.org/umbel/rc/Mountain;http://dbpedia.org/ontology/elevation;1;0.977400156
http://dbpedia.org/class/yago/Commune108541609;http://dbpedia.org/ontology/elevation;1;0.990142739
Top;http://dbpedia.org/ontology/episodeNumber;1;0.975523711
Top;http://dbpedia.org/ontology/extinctionYear;1;0.971060101
Top;http://dbpedia.org/ontology/eyeColor;1;0.973023251
http://schema.org/RadioStation;http://dbpedia.org/ontology/facilityId;1;0.974133681
http://dbpedia.org/class/yago/RadioStation104044119;http://dbpedia.org/ontology/facilityId;1;0.973633904
http://dbpedia.org/ontology/Station;http://dbpedia.org/ontology/facilityId;1;0.970542732
http://dbpedia.org/ontology/RadioStation;http://dbpedia.org/ontology/facilityId;1;0.97408424
http://dbpedia.org/ontology/Fungus;http://dbpedia.org/ontology/family;1;0.984154263
http://umbel.org/umbel/rc/Fungus;http://dbpedia.org/ontology/family;1;0.976950509
http://dbpedia.org/class/yago/Fungus112992868;http://dbpedia.org/ontology/family;1;0.97027556
Top;http://dbpedia.org/ontology/fareZone;1;0.973522739
Top;http://dbpedia.org/ontology/fdaUniiCode;1;0.975263239
Top;http://dbpedia.org/ontology/federalState;1;0.977672821
Top;http://dbpedia.org/ontology/firstPublicationYear;1;0.979739627
http://dbpedia.org/ontology/FootballMatch;http://dbpedia.org/ontology/followingEvent;1;0.972229072
Top;http://dbpedia.org/ontology/foundingYear;1;0.970341274
Top;http://dbpedia.org/ontology/frequencyOfPublication;1;0.977587668
Top;http://dbpedia.org/ontology/games;1;0.9788711
Top;http://dbpedia.org/ontology/genus;1;0.977993666
Top;http://dbpedia.org/ontology/governingBody;1;0.972782876
http://dbpedia.org/class/yago/GeographicalArea108574314;http://dbpedia.org/ontology/governmentType;1;0.97238608
http://www.wikidata.org/entity/Q486972;http://dbpedia.org/ontology/governmentType;1;0.977317138
http://www.wikidata.org/entity/Q3957;http://dbpedia.org/ontology/governmentType;1;0.970699662
http://dbpedia.org/ontology/Settlement;http://dbpedia.org/ontology/governmentType;1;0.977286413
Top;http://dbpedia.org/ontology/grandsire;1;0.973504573
Top;http://dbpedia.org/ontology/grayPage;1;0.970571334
Top;http://dbpedia.org/ontology/graySubject;1;0.971266827
Top;http://dbpedia.org/ontology/gridReference;1;0.990147705
http://dbpedia.org/class/yago/Abstraction100002137;http://dbpedia.org/ontology/gross;1;0.971860272
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity;http://dbpedia.org/ontology/gross;1;0.97190249
http://dbpedia.org/class/yago/PhysicalEntity100001930;http://dbpedia.org/ontology/gross;1;0.971927679
Top;http://dbpedia.org/ontology/hairColor;1;0.971744009
Top;http://dbpedia.org/ontology/height;1;0.995897651
http://schema.org/RadioStation;http://dbpedia.org/ontology/heightAboveAverageTerrain;1;0.972260072
http://dbpedia.org/ontology/RadioStation;http://dbpedia.org/ontology/heightAboveAverageTerrain;1;0.972198251
http://dbpedia.org/class/yago/RadioStation104044119;http://dbpedia.org/ontology/heightAboveAverageTerrain;1;0.971847132
Top;http://dbpedia.org/ontology/iataLocationIdentifier;1;0.982741919
Top;http://dbpedia.org/ontology/icd10;1;0.971196362
Top;http://dbpedia.org/ontology/imdbId;1;0.977408798
Top;http://dbpedia.org/ontology/impactFactorAsOf;1;0.974135892
http://www.wikidata.org/entity/Q46970;http://dbpedia.org/ontology/industry;1;0.975021453
http://dbpedia.org/ontology/Airline;http://dbpedia.org/ontology/industry;1;0.975037825
http://dbpedia.org/class/yago/Carrier108057633;http://dbpedia.org/ontology/industry;1;0.972151388
Top;http://dbpedia.org/ontology/Infrastructure/length;1;0.985185965
Top;http://dbpedia.org/ontology/inseeCode;1;0.992119893
Top;http://dbpedia.org/ontology/intercommunality;1;0.973399538
Top;http://dbpedia.org/ontology/internationally;1;0.977528844
Top;http://dbpedia.org/ontology/isbn;1;0.985082399
Top;http://dbpedia.org/ontology/isHandicappedAccessible;1;0.977090386
Top;http://dbpedia.org/ontology/iso6393Code;1;0.978394226
Top;http://dbpedia.org/ontology/isoCodeRegion;1;0.982356774
Top;http://dbpedia.org/ontology/iucnCategory;1;0.97868812
Top;http://dbpedia.org/ontology/kingdom;1;0.994583327
Top;http://dbpedia.org/ontology/layingDown;1;0.985458238
Top;http://dbpedia.org/ontology/lcc;1;0.977442436
Top;http://dbpedia.org/ontology/lccn;1;0.971475111
Top;http://dbpedia.org/ontology/leaderParty;1;0.97499572
http://dbpedia.org/class/yago/Measure100033615;http://dbpedia.org/ontology/league;1;0.978423313
http://dbpedia.org/ontology/WinterSportPlayer;http://dbpedia.org/ontology/league;1;0.978315902
http://dbpedia.org/ontology/SportsSeason;http://dbpedia.org/ontology/league;1;0.979705549
http://dbpedia.org/class/yago/HockeyPlayer110179291;http://dbpedia.org/ontology/league;1;0.97689522
http://www.wikidata.org/entity/Q476028;http://dbpedia.org/ontology/league;1;0.97156727
http://www.wikidata.org/entity/Q11774891;http://dbpedia.org/ontology/league;1;0.978315902
Top;http://dbpedia.org/ontology/length;1;0.987054083
Top;http://dbpedia.org/ontology/licensee;1;0.97820044
Top;http://dbpedia.org/ontology/lowerAge;1;0.978316415
Top;http://dbpedia.org/ontology/managerTitle;1;0.978651357
